abl_id,model_name,model_group,description,occlusion_level,mAP,rank1,rank5,rank10
ABL-08,CNN+GCN kNN L1,ResNet50,ResNet50-IBN + kNN(k=8) + 1 layer GCN,0,73.6122,93.1466,97.199,98.6293
ABL-08,CNN+GCN kNN L1,ResNet50,ResNet50-IBN + kNN(k=8) + 1 layer GCN,3,72.9956,92.6102,96.9011,98.2718
ABL-08,CNN+GCN kNN L1,ResNet50,ResNet50-IBN + kNN(k=8) + 1 layer GCN,6,72.5364,92.7294,97.0799,98.3909
ABL-08,CNN+GCN kNN L1,ResNet50,ResNet50-IBN + kNN(k=8) + 1 layer GCN,9,71.8325,92.1335,96.5435,97.9738
ABL-08,CNN+GCN kNN L1,ResNet50,ResNet50-IBN + kNN(k=8) + 1 layer GCN,12,70.9227,91.18,96.7819,98.2122
ABL-08,CNN+GCN kNN L1,ResNet50,ResNet50-IBN + kNN(k=8) + 1 layer GCN,15,70.4284,91.2396,96.3647,97.795
ABL-08,CNN+GCN kNN L1,ResNet50,ResNet50-IBN + kNN(k=8) + 1 layer GCN,18,69.0435,90.7628,95.888,97.3182
ABL-08,CNN+GCN kNN L1,ResNet50,ResNet50-IBN + kNN(k=8) + 1 layer GCN,21,67.8963,89.6901,95.3516,96.8415
ABL-08,CNN+GCN kNN L1,ResNet50,ResNet50-IBN + kNN(k=8) + 1 layer GCN,24,67.0491,87.9619,94.7557,96.9607
ABL-08,CNN+GCN kNN L1,ResNet50,ResNet50-IBN + kNN(k=8) + 1 layer GCN,27,64.8259,85.876,93.7425,96.0668
ABL-08,CNN+GCN kNN L1,ResNet50,ResNet50-IBN + kNN(k=8) + 1 layer GCN,30,63.6366,84.1478,92.4911,95.59
