abl_id,model_name,model_group,description,occlusion_level,mAP,rank1,rank5,rank10
ABL12,ViT+GCN 4nb L3,ViT-Base,ViT-Base-768 + 4-neighbor + 3 layer GCN,0,72.397,94.0405,97.199,98.5101
ABL12,ViT+GCN 4nb L3,ViT-Base,ViT-Base-768 + 4-neighbor + 3 layer GCN,3,71.8267,93.9213,97.4374,98.5697
ABL12,ViT+GCN 4nb L3,ViT-Base,ViT-Base-768 + 4-neighbor + 3 layer GCN,6,71.5296,93.2658,97.0799,98.3313
ABL12,ViT+GCN 4nb L3,ViT-Base,ViT-Base-768 + 4-neighbor + 3 layer GCN,9,71.0128,92.9678,96.4243,98.1526
ABL12,ViT+GCN 4nb L3,ViT-Base,ViT-Base-768 + 4-neighbor + 3 layer GCN,12,70.3766,93.0274,96.9607,98.5697
ABL12,ViT+GCN 4nb L3,ViT-Base,ViT-Base-768 + 4-neighbor + 3 layer GCN,15,69.5391,92.0739,96.4839,97.8546
ABL12,ViT+GCN 4nb L3,ViT-Base,ViT-Base-768 + 4-neighbor + 3 layer GCN,18,68.6889,91.4779,96.4243,98.2122
ABL12,ViT+GCN 4nb L3,ViT-Base,ViT-Base-768 + 4-neighbor + 3 layer GCN,21,67.7706,91.0608,96.2455,97.795
ABL12,ViT+GCN 4nb L3,ViT-Base,ViT-Base-768 + 4-neighbor + 3 layer GCN,24,66.9579,89.9285,96.5435,98.4505
ABL12,ViT+GCN 4nb L3,ViT-Base,ViT-Base-768 + 4-neighbor + 3 layer GCN,27,65.4437,89.2134,95.5304,97.6162
ABL12,ViT+GCN 4nb L3,ViT-Base,ViT-Base-768 + 4-neighbor + 3 layer GCN,30,64.8624,89.2134,95.59,97.6162
