abl_id,model_name,model_group,description,occlusion_level,mAP,rank1,rank5,rank10
ABL-15,ViT+GCN kNN L1,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,0,72.4726,94.5173,97.6758,99.0465
ABL-15,ViT+GCN kNN L1,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,3,71.9302,94.1001,97.9142,98.8677
ABL-15,ViT+GCN kNN L1,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,6,71.6552,93.5638,97.6758,98.9273
ABL-15,ViT+GCN kNN L1,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,9,71.0699,93.6234,97.3778,98.6889
ABL-15,ViT+GCN kNN L1,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,12,70.463,93.087,97.3182,98.6889
ABL-15,ViT+GCN kNN L1,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,15,69.7673,92.789,97.0799,98.8081
ABL-15,ViT+GCN kNN L1,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,18,68.6906,91.18,97.2586,98.4505
ABL-15,ViT+GCN kNN L1,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,21,67.8788,91.0012,96.4839,98.4505
ABL-15,ViT+GCN kNN L1,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,24,67.0572,90.286,96.4243,97.9142
ABL-15,ViT+GCN kNN L1,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,27,65.6073,89.273,95.1728,97.6758
ABL-15,ViT+GCN kNN L1,ViT-Base,ViT-Base-768 + kNN(k=8) + 1 layer GCN,30,64.7606,88.7962,94.6365,97.0203
